Order ID,Order Date,Customer Name,Region,City,State,Product,Category,Quantity,Sales,Profit,Discount,Ship Mode,Segment
20103,2023-12-30,Neha,West,Ahmedabad,West Bengal,Table,Furniture,5,30170,5543.73,0.03,First Class,Consumer
20662,2023-08-25,Priya,North,Bangalore,Delhi,Charger,Electronics,2,11222,3901.48,0.19,Second Class,Corporate
20561,2021-04-19,Neha,East,Bangalore,Gujarat,T-shirt,Fashion,4,12188,1948.97,0.14,First Class,Corporate
20244,2022-04-11,Tanya,West,Hyderabad,Maharashtra,Headphones,Electronics,5,20950,5323.23,0.14,Second Class,Consumer
20777,2023-10-01,Karan,East,Hyderabad,Delhi,Smartphone,Electronics,4,26140,4758.68,0.04,Standard Class,Home Office
20932,2024-05-04,Meera,East,Mumbai,Maharashtra,Shoes,Fashion,2,2642,544.31,0.16,Second Class,Consumer
20556,2020-06-10,Deepak,East,Chennai,Maharashtra,Shoes,Fashion,4,5264,1781.08,0.25,Standard Class,Corporate
20217,2022-02-02,Arjun,West,Delhi,Karnataka,Sofa,Furniture,1,5576,1620.72,0.02,First Class,Consumer
20648,2024-02-04,Neha,East,Mumbai,Delhi,Bottle,Accessories,1,691,185.67,0.23,Standard Class,Corporate
20028,2020-05-14,Tanya,East,Bangalore,Telangana,Table,Furniture,4,13616,940.42,0.09,Same Day,Consumer
20987,2024-04-19,Amit,East,Hyderabad,Gujarat,Headphones,Electronics,5,42050,11100.08,0.23,Second Class,Home Office
20795,2021-01-27,Deepak,West,Bangalore,Telangana,T-shirt,Fashion,4,7136,788.64,0.27,Standard Class,Consumer
20485,2023-12-01,Vikas,South,Bangalore,Maharashtra,Sofa,Furniture,3,14808,1756.81,0.02,First Class,Home Office
20682,2021-07-10,Tanya,East,Bangalore,Delhi,Backpack,Accessories,4,15708,2748.16,0.26,Same Day,Corporate
20231,2020-07-08,Amit,East,Hyderabad,West Bengal,Laptop,Electronics,1,1606,286.08,0.25,Standard Class,Home Office
20649,2020-11-13,Karan,West,Delhi,Telangana,Laptop,Electronics,3,2889,961.67,0.1,Same Day,Consumer
20497,2021-03-17,Sneha,North,Mumbai,Maharashtra,Charger,Electronics,2,15708,2203.26,0.09,Standard Class,Home Office
20220,2024-05-08,Vikas,West,Hyderabad,Gujarat,Watch,Fashion,1,6828,832.12,0.04,Same Day,Corporate
20836,2024-01-02,Neha,North,Bangalore,West Bengal,Television,Electronics,5,16155,5573.91,0.12,First Class,Consumer
20326,2021-04-08,Rahul,West,Ahmedabad,Gujarat,Chair,Furniture,4,29592,3434.81,0.21,First Class,Home Office
20820,2021-05-03,Amit,East,Hyderabad,Maharashtra,Table,Furniture,2,10072,2545.27,0.22,Second Class,Home Office
